transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
93,69,61,3,3,+,-0.5,3,3,3,+,0.5,2,-81.04699993133545,1.415
94,31,121,0,0,-,-1.5,1,2,0,-,-0.5,2,1965253928.8279998,1.411
95,30,113,0,0,-,-0.5,1,2,0,-,0.5,1,1965253860.1439998,1.405
96,5,41,1,1,+,0.5,2,2,1,+,1.5,2,1334121302.922,1.401
97,47,109,1,1,-,0.5,2,2,1,-,1.5,2,1310169302.922,1.401
98,126,120,2,0,-,-0.5,3,2,0,-,0.5,2,-59.17200040817261,1.386
99,30,129,0,0,-,-0.5,1,2,0,-,0.5,4,1965254040.3630002,1.38
100,72,73,3,3,+,-1.5,4,3,3,+,-0.5,4,6.539999961853027,1.378
101,112,111,2,0,-,1.5,1,2,0,-,2.5,1,-7.315000057220459,1.36
102,22,21,2,2,+,-1.5,1,2,2,+,-0.5,1,-4.906999945640564,1.356
